,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
331,ACT BESS,battery,,Store,AU,10,,,,,,2025,,2033,-33,147,,,
332,Adelaide Desalination Plant,battery,,Store,AU,7.76,,,,,,2025,,2041,-30,135.5,,,
333,Ballarat Energy Storage System,battery,,Store,AU,30.09,,,,,,2025,,2033,-36.5,145,,,
334,Bellambi Heights Renewables Project,battery,,Store,AU,204,,,,,,2027,,2047,-33,147,,,
335,Bennetts Creek BESS,battery,,Store,AU,176.4,,,,,,2028,,2048,-36.5,145,,,
336,Blind Creek Solar Farm and Battery Energy Storage System,battery,,Store,AU,245.7,,,,,,2028,,2053,-33,147,,,
337,Blyth BESS,battery,,Store,AU,200.32,,,,,,2025,,2044,-30,135.5,,,
338,Bolivar Waste Water Treatment,battery,,Store,AU,3.08,,,,,,2025,,2045,-30,135.5,,,
339,Bouldercombe Battery project,battery,,Store,AU,50,,,,,,2025,,2042,-22.5,144.5,,,
340,Brendale BESS,battery,,Store,AU,204.96,,,,,,2026,,2066,-22.5,144.5,,,
341,Broken Hill BESS,battery,,Store,AU,60.28,,,,,,2025,,2043,-33,147,,,
342,Bulabul BESS 1,battery,,Store,AU,300,,,,,,2027,,2065,-33,147,,,
343,Bulgana Green Power Hub - BESS,battery,,Store,AU,20,,,,,,2025,,2049,-36.5,145,,,
344,Bungama Solar,battery,,Store,AU,150,,,,,,2026,,2056,-30,135.5,,,
345,Calala BESS A1,battery,,Store,AU,108.08,,,,,,2026,,2052,-33,147,,,
346,Calala BESS A2,battery,,Store,AU,158.26,,,,,,2026,,2052,-33,147,,,
347,Capital Battery,battery,,Store,AU,99.99,,,,,,2025,,2048,-33,147,,,
348,Chinchilla BESS,battery,,Store,AU,100,,,,,,2025,,2038,-22.5,144.5,,,
349,Christies Beach Wastewater Treatment Plant,battery,,Store,AU,2.16,,,,,,2025,,2045,-30,135.5,,,
350,Clements Gap - BESS,battery,,Store,AU,60,,,,,,2026,,2046,-30,135.5,,,
351,Dalrymple BESS,battery,,Store,AU,30,,,,,,2025,,2030,-30,135.5,,,
352,Darlington Point Energy Storage System,battery,,Store,AU,24.96,,,,,,2025,,2051,-33,147,,,
353,Elaine BESS,battery,,Store,AU,309.6,,,,,,2027,,2069,-36.5,145,,,
354,Eraring Big Battery,battery,,Store,AU,460,,,,,,2025,,2045,-33,147,,,
355,Eraring Big Battery,battery,,Store,AU,240,,,,,,2027,,2057,-33,147,,,
356,Eraring Big Battery,battery,,Store,AU,0,,,,,,2026,,2057,-33,147,,,
357,Fulham Solar Farm And BESS,battery,,Store,AU,64.08,,,,,,2027,,2063,-36.5,145,,,
358,Gannawarra Energy Storage System,battery,,Store,AU,25.5,,,,,,2025,,2033,-36.5,145,,,
359,Gnarwarre BESS Facility,battery,,Store,AU,470.4,,,,,,2027,,2054,-36.5,145,,,
360,Goulburn River Solar Farm And BESS,battery,,Store,AU,49.84,,,,,,2027,,2052,-33,147,,,
361,Greenbank BESS,battery,,Store,AU,200,,,,,,2025,,2044,-22.5,144.5,,,
362,Happy Valley Reservoir,battery,,Store,AU,5.52,,,,,,2025,,2041,-30,135.5,,,
363,Hazelwood Battery Energy Storage System (HBESS),battery,,Store,AU,200.07,,,,,,2025,,2043,-36.5,145,,,
364,Hornsdale Power Reserve Unit 1,battery,,Store,AU,50,,,,,,2025,,2057,-30,135.5,,,
365,Hornsdale Power Reserve Unit 1,battery,,Store,AU,100,,,,,,2025,,2057,-30,135.5,,,
366,Kennedy Energy Park - Phase 1 - Storage,battery,,Store,AU,2,,,,,,2025,,2046,-22.5,144.5,,,
367,Koorangie Energy Storage System,battery,,Store,AU,185,,,,,,2025,,2055,-36.5,145,,,
368,Lake Bonney Battery Energy Storage,battery,,Store,AU,28.8,,,,,,2025,,2034,-30,135.5,,,
369,LaTrobe Valley BESS,battery,,Store,AU,97.9,,,,,,2025,,2045,-36.5,145,,,
370,Liddell BESS,battery,,Store,AU,500,,,,,,2026,,2046,-33,147,,,
371,Limondale BESS,battery,,Store,AU,50,,,,,,2026,,2046,-33,147,,,
372,LINCOLN GAP BESSBDU,battery,,Store,AU,10.8,,,,,,2026,,2045,-30,135.5,,,
373,Lockhart Hybrid Facility - Battery,battery,,Store,AU,10,,,,,,2026,,2056,-33,147,,,
374,Mannum BESS,battery,,Store,AU,100,,,,,,2026,,2044,-30,135.5,,,
375,Melbourne Renewable Energy Hub Connection A1,battery,,Store,AU,216.16,,,,,,2025,,2050,-36.5,145,,,
376,Melbourne Renewable Energy Hub Connection A2,battery,,Store,AU,216.16,,,,,,2025,,2050,-36.5,145,,,
377,Melbourne Renewable Energy Hub Connection A3,battery,,Store,AU,215.6,,,,,,2025,,2050,-36.5,145,,,
378,Mornington BESS,battery,,Store,AU,240,,,,,,2026,,2046,-36.5,145,,,
379,Mortlake Battery,battery,,Store,AU,300,,,,,,2026,,2056,-36.5,145,,,
380,New England Solar Farm BESS,battery,,Store,AU,100,,,,,,2026,,2075,-33,147,,,
381,Orana BESS,battery,,Store,AU,416.64,,,,,,2026,,2066,-33,147,,,
382,Pelican Point BESS,battery,,Store,AU,200,,,,,,2027,,2047,-30,135.5,,,
383,Philip Island BESS,battery,,Store,AU,5,,,,,,2025,,2038,-36.5,145,,,
384,Pine Lodge BESS,battery,,Store,AU,250,,,,,,2026,,2046,-36.5,145,,,
385,Quorn Park Solar Hybrid,battery,,Store,AU,27.6,,,,,,2026,,2045,-33,147,,,
386,Rangebank BESS,battery,,Store,AU,200,,,,,,2025,,2044,-36.5,145,,,
387,Riverina Energy Storage System 1,battery,,Store,AU,60,,,,,,2025,,2051,-33,147,,,
388,Riverina Energy Storage System 2,battery,,Store,AU,65,,,,,,2025,,2051,-33,147,,,
389,Smithfield BESS,battery,,Store,AU,86.4,,,,,,2025,,2040,-33,147,,,
390,Summerfield BESS,battery,,Store,AU,153.65,,,,,,2026,,2046,-30,135.5,,,
391,Summerfield BESS,battery,,Store,AU,153.65,,,,,,2026,,2046,-30,135.5,,,
392,Supernode BESS,battery,,Store,AU,259.92,,,,,,2026,,2051,-22.5,144.5,,,
393,Supernode BESS,battery,,Store,AU,259.92,,,,,,2026,,2051,-22.5,144.5,,,
394,Tailem Bend Stage 3,battery,,Store,AU,204,,,,,,2027,,2047,-30,135.5,,,
395,Tarong BESS - Stanwell,battery,,Store,AU,300,,,,,,2026,,2045,-22.5,144.5,,,
396,Terang BESS,battery,,Store,AU,144.4,,,,,,2026,,2056,-36.5,145,,,
397,Torrens Island BESS,battery,,Store,AU,250.7,,,,,,2025,,2043,-30,135.5,,,
398,Ulinda Park BESS,battery,,Store,AU,154.96,,,,,,2026,,2065,-22.5,144.5,,,
399,Victorian Big Battery,battery,,Store,AU,300,,,,,,2025,,2041,-36.5,145,,,
400,Wallgrove Grid Battery project,battery,,Store,AU,61.2,,,,,,2025,,2036,-33,147,,,
401,Wandoan South BESS,battery,,Store,AU,100,,,,,,2025,,2051,-22.5,144.5,,,
402,Waratah Super Battery,battery,,Store,AU,843.84,,,,,,2025,,2065,-33,147,,,
403,Williamsdale BESS,battery,,Store,AU,250,,,,,,2026,,2046,-33,147,,,
404,Woolooga BESS,battery,,Store,AU,280.96,,,,,,2026,,2051,-22.5,144.5,,,
405,Wooreen Energy Storage System ,battery,,Store,AU,350.56,,,,,,2027,,2047,-36.5,145,,,
